,step,fold_0,fold_1,fold_2,fold_3
0,15,0.650337815284729,0.7039006948471069,0.5945512652397156,0.6158088445663452
1,25,0.6891447305679321,0.5368589758872986,0.5086805820465088,0.6719858050346375
2,30,0.6788321137428284,0.6631944179534912,0.628333330154419,0.6564748287200928
3,40,0.501724123954773,0.6305732727050781,0.5506756901741028,0.6041666865348816
4,50,0.6272727251052856,0.7103448510169983,0.4887820482254028,0.6779279112815857
5,55,0.6496211886405945,0.6116071343421936,0.515625,0.7029914259910583
6,65,0.523809552192688,0.7789855003356934,0.636956512928009,0.6987704634666443
7,70,0.6828358173370361,0.7215909361839294,0.6735537052154541,0.5094339847564697
8,75,0.6578947305679321,0.44259259104728704,0.5665322542190552,0.7111111283302307
9,80,0.5467479825019836,0.6536697149276733,0.5874999761581421,0.6777777671813965
10,85,0.5395683646202087,0.601190447807312,0.4933035671710968,0.6225961446762085
11,90,0.6415929198265076,0.6404761672019958,0.6747311949729919,0.567307710647583
12,95,0.5470085740089417,0.613043487071991,0.4207920730113983,0.6218487620353699
13,100,0.6519607901573181,0.514018714427948,0.6545454263687134,0.7257281541824341
14,110,0.7136363387107849,0.4954545497894287,0.5024510025978088,0.6071428656578064
15,120,0.6045454740524292,0.7932692170143127,0.7215909361839294,0.6181818246841431
16,125,0.8039215803146362,0.6211340427398682,0.5783132314682007,0.5531914830207825
17,150,0.6063218116760254,0.6781609058380127,0.5896739363670349,0.5794117450714111
18,155,0.8117977380752563,0.8046875,0.7019230723381042,0.7267441749572754
19,165,0.4864130318164826,0.6235294342041016,0.6105263233184814,0.8333333134651184
20,170,0.6283783912658691,0.6309523582458496,0.7403846383094788,0.5422534942626953
21,180,0.5801281929016113,0.5888158082962036,0.6136363744735718,0.596666693687439
22,195,0.75,0.5188171863555908,0.5917721390724182,0.703125
23,200,0.5528169274330139,0.4819277226924896,0.6150793433189392,0.5422534942626953
24,210,0.4590163826942444,0.6022727489471436,0.7466666698455809,0.8801369667053223
25,215,0.5967742204666138,0.6842105388641357,0.5333333611488342,0.7142857313156128
26,220,0.7023809552192688,0.567307710647583,0.6126760840415955,0.5791666507720947
27,225,0.6975806355476379,0.6595744490623474,0.5882353186607361,0.6301369667053223
28,235,0.675000011920929,0.8038461804389954,0.7132353186607361,0.5508474707603455
29,245,0.5932835936546326,0.5942623019218445,0.30078125,0.6269841194152832
30,250,0.7538461685180664,0.5858209133148193,0.6885964870452881,0.7985074520111084
31,265,0.5258620977401733,0.5517241358757019,0.87890625,0.3973214328289032
32,270,0.75,0.6651785969734192,0.8070175647735596,0.8028846383094788
33,275,0.5785714387893677,0.5932203531265259,0.8153846263885498,0.8500000238418579
34,280,0.6567796468734741,0.6026785969734192,0.7688679099082947,0.7400000095367432
35,285,0.5740740895271301,0.699999988079071,0.6447368264198303,0.7333333492279053
36,300,0.6666666865348816,0.66796875,0.4795918464660645,0.6666666865348816
37,305,0.675000011920929,0.8269230723381042,0.6372548937797546,0.6100000143051147
38,315,0.7653061151504517,0.6696428656578064,0.43292683362960815,0.7159090638160706
39,325,0.7352941036224365,0.7416666746139526,0.6402438879013062,0.679347813129425
