,step,fold_0,fold_1,fold_2,fold_3
0,15,5.63588809967041,4.772557258605957,6.5350608825683585,6.192430019378662
1,25,5.010395050048828,7.464951038360597,7.91913366317749,5.286964416503906
2,30,5.176614284515381,5.428663730621338,5.990558624267577,5.5369720458984375
3,40,8.031258583068848,5.954455375671388,7.242252826690674,6.38007926940918
4,50,6.00765323638916,4.668689727783203,8.239860534667969,5.191188335418701
5,55,5.6474385261535645,6.260152339935303,7.807202339172362,4.787212371826172
6,65,7.675283908843994,3.562332391738892,5.851570129394531,4.855245590209961
7,70,5.112082481384277,4.487424373626709,5.261692523956299,7.9069905281066895
8,75,5.514085292816162,8.984346389770508,6.986674785614014,4.656338691711426
9,80,7.3055596351623535,5.582184314727783,6.648714065551758,5.193608283996582
10,85,7.421281337738037,6.428049564361572,8.16698169708252,6.083031177520753
11,90,5.776839733123778,5.794839382171631,5.242714405059815,6.9741764068603525
12,95,7.3013596534729,6.237002372741699,9.335728645324707,6.095078468322754
13,100,5.609729290008545,7.8330931663513175,5.568069934844972,4.420739650726318
14,110,4.615635871887207,8.132311820983888,8.019543647766112,6.332108974456787
15,120,6.373974800109862,3.332106351852417,4.487424373626709,6.154181957244872
16,125,3.1604106426239014,6.106598377227782,6.796786785125732,7.201703071594237
17,150,6.3453426361083975,5.187432765960693,6.613675117492676,6.779081344604492
18,155,3.033461570739746,3.1480653285980225,4.804431915283203,4.40436315536499
19,165,8.278043746948242,6.067988872528076,6.277573585510254,2.6863491535186768
20,170,5.989832401275635,5.948345184326173,4.1845054626464835,7.378001689910889
21,180,6.767533302307129,6.6275062561035165,6.227445602416992,6.500965118408202
22,195,4.029523849487306,7.75575065612793,6.579855442047119,4.785059928894043
23,200,7.20773983001709,8.350338935852049,6.2041873931884775,7.378001689910889
24,210,8.719625473022461,6.410606384277344,4.0832505226135245,1.931963562965393
25,215,6.499232292175293,5.089925289154053,7.521777153015138,4.605170249938965
26,220,4.797052383422852,6.9741759300231925,6.242924213409424,6.783031940460205
27,225,4.8744239807128915,5.487011432647705,6.636862277984619,5.961487293243407
28,235,5.2383809089660645,3.16162657737732,4.622100830078125,7.23948335647583
29,245,6.55549430847168,6.539719104766847,11.270074844360352,6.01230525970459
30,250,3.9675312042236333,6.675778388977051,5.019231796264648,3.247675895690918
31,265,7.642200469970702,7.225352764129639,1.9518007040023804,9.714030265808104
32,270,4.029523849487306,5.396683692932129,3.1105098724365234,3.177124500274658
33,275,6.792625427246094,6.55651330947876,2.975648164749145,2.417714357376098
34,280,5.532058238983153,6.404064655303955,3.725408792495728,4.190705299377441
35,285,6.865115165710449,4.835428714752197,5.726165294647218,4.298159122467041
36,300,5.3726983070373535,5.3517117500305185,8.387988090515138,5.372698783874512
37,305,5.2383809089660645,2.789670467376709,5.846759796142577,6.286057949066162
38,315,3.78281831741333,5.324727535247803,9.14013957977295,4.579004287719727
39,325,4.266554355621338,4.163841724395752,5.798583030700684,5.168302536010742
