Num,Mean,Avg Weight,Avg Weight Corrrected,Avg Weight 2,Beta
152,13.6,5.2,6.6,14.9,
153,14.9,5.3,6.7,14.9,
154,16.3,5.4,6.9,15.0,
155,16.4,5.5,7.0,15.2,
156,14.5,5.6,7.1,15.1,
157,13.7,5.7,7.2,15.0,
158,14.5,5.8,7.2,14.9,
159,17.3,5.9,7.4,15.2,
160,20.7,6.0,7.5,15.7,
161,22.6,6.2,7.7,16.4,
162,26.9,6.4,8.0,17.4,
163,26.6,6.6,8.2,18.4,
164,21.8,6.8,8.4,18.7,
165,19.5,6.9,8.5,18.8,
166,18.3,7.0,8.6,18.7,
167,23.6,7.2,8.8,19.2,
168,23.6,7.3,9.0,19.7,
169,24.4,7.5,9.2,20.1,
170,21.7,7.6,9.3,20.3,
171,18.5,7.7,9.4,20.1,
172,17.8,7.8,9.5,19.9,
173,19.2,8.0,9.7,19.8,
174,21.4,8.1,9.8,20.0,
175,19.5,8.2,9.9,19.9,
176,17.7,8.3,10.0,19.7,
177,16.6,8.4,10.1,19.4,
178,16,8.5,10.2,19.1,
179,18.4,8.6,10.3,19.0,
180,21.3,8.7,10.4,19.2,
181,24.2,8.8,10.6,19.7,
182,21,9.0,10.7,19.8,
183,20.6,9.1,10.8,19.9,
184,20.2,9.2,10.9,19.9,
185,20.3,9.3,11.0,20.0,
186,20.5,9.4,11.1,20.0,
187,23.2,9.6,11.3,20.4,
188,24.7,9.7,11.4,20.8,
189,19.9,9.8,11.5,20.7,
190,21.5,9.9,11.7,20.8,
191,21.8,10.0,11.8,20.9,
192,23.2,10.2,11.9,21.1,
193,23.1,10.3,12.0,21.3,
194,18.8,10.4,12.1,21.1,
195,22.6,10.5,12.2,21.2,
196,22.9,10.6,12.4,21.4,
197,22.2,10.8,12.5,21.5,
198,22.6,10.9,12.6,21.6,
199,22.8,11.0,12.7,21.7,
200,25.3,11.1,12.9,22.1,
201,20.3,11.2,12.9,21.9,
202,24.3,11.4,13.1,22.1,
203,22.1,11.5,13.2,22.1,
204,22.3,11.6,13.3,22.1,
205,19.1,11.6,13.3,21.8,
206,19.2,11.7,13.4,21.6,
207,18.3,11.8,13.5,21.2,
208,22.5,11.9,13.6,21.4,
209,19.3,12.0,13.6,21.2,
210,21.4,12.1,13.7,21.2,
211,24.3,12.2,13.8,21.5,
212,24.2,12.3,14.0,21.8,
213,23.4,12.4,14.1,21.9,
214,24.3,12.5,14.2,22.2,
215,22.9,12.6,14.3,22.2,
216,21,12.7,14.4,22.1,
217,17.2,12.8,14.4,21.6,
218,18.9,12.8,14.4,21.4,
219,18.1,12.9,14.5,21.0,
220,19.7,12.9,14.5,20.9,
221,22.5,13.0,14.6,21.1,
222,22.3,13.1,14.7,21.2,
223,21.1,13.2,14.8,21.2,
224,21.1,13.3,14.9,21.2,
225,20,13.4,14.9,21.0,
226,21.4,13.4,15.0,21.1,
227,21.9,13.5,15.1,21.2,
228,20.1,13.6,15.1,21.1,
229,20.3,13.7,15.2,21.0,
230,23.4,13.8,15.3,21.2,
231,20.5,13.8,15.3,21.2,
232,22.1,13.9,15.4,21.2,
233,24.3,14.0,15.5,21.6,
234,20.3,14.1,15.6,21.4,
235,17.5,14.1,15.6,21.0,
236,15.6,14.1,15.6,20.5,
237,16.4,14.1,15.6,20.1,
238,16.4,14.2,15.6,19.7,
239,16.8,14.2,15.6,19.4,
240,19.4,14.2,15.7,19.4,
241,19.2,14.3,15.7,19.4,
242,19,14.3,15.7,19.4,
243,14.5,14.3,15.7,18.9,
244,12.7,14.3,15.7,18.3,
245,13.7,14.3,15.7,17.8,
246,17.9,14.4,15.7,17.8,
247,20.3,14.4,15.7,18.1,
248,17.1,14.4,15.7,18.0,
249,16,14.5,15.8,17.8,
250,15,14.5,15.7,17.5,
251,14,14.5,15.7,17.1,
252,12.8,14.4,15.7,16.7,
253,13.7,14.4,15.7,16.4,
254,15.5,14.4,15.7,16.3,
255,17.1,14.5,15.7,16.4,
256,18.2,14.5,15.7,16.6,
257,21.5,14.6,15.8,17.1,
258,21.7,14.7,15.8,17.5,
259,21.2,14.7,15.9,17.9,
260,21.1,14.8,16.0,18.2,
261,21.8,14.9,16.0,18.6,
262,23,14.9,16.1,19.0,
263,21.9,15.0,16.2,19.3,
264,21.6,15.1,16.2,19.5,
265,21.9,15.1,16.3,19.8,
266,25.4,15.2,16.4,20.3,
267,26.5,15.4,16.5,21.0,
268,25.8,15.5,16.6,21.4,
269,25.6,15.6,16.7,21.9,
270,22,15.6,16.7,21.9,
271,13.6,15.6,16.7,21.0,
272,13.3,15.6,16.7,20.3,
273,10.5,15.5,16.6,19.3,
274,10.9,15.5,16.5,18.5,
275,13.5,15.5,16.5,18.0,
276,16,15.5,16.5,17.8,
277,19,15.5,16.5,17.9,
278,15.9,15.5,16.5,17.7,
279,17.3,15.5,16.5,17.6,
280,22.2,15.6,16.6,18.1,
281,20.9,15.6,16.6,18.4,
282,18,15.7,16.6,18.3,
283,17.1,15.7,16.7,18.2,
284,10.5,15.6,16.6,17.4,
285,11.5,15.6,16.5,16.9,
286,15.5,15.6,16.5,16.7,
287,15.5,15.6,16.5,16.6,
288,16,15.6,16.5,16.5,
289,6.6,15.5,16.4,15.5,
290,11.1,15.5,16.3,15.1,
291,16,15.5,16.3,15.2,
292,14.1,15.5,16.3,15.1,
293,14.7,15.4,16.3,15.0,
294,15.4,15.4,16.3,15.1,
295,15.6,15.4,16.3,15.1,
296,16.9,15.5,16.3,15.3,
297,12.7,15.4,16.3,15.0,
298,7.3,15.3,16.2,14.3,
299,6.9,15.3,16.1,13.5,
300,8.8,15.2,16.0,13.1,
301,7.4,15.1,15.9,12.5,
302,6.3,15.0,15.8,11.9,
303,6.9,15.0,15.7,11.4,
304,5.6,14.9,15.6,10.8,
305,5.5,14.8,15.5,10.3,
306,10.9,14.7,15.4,10.3,
307,6.8,14.6,15.3,10.0,
308,3.9,14.5,15.2,9.4,
309,10.9,14.5,15.2,9.5,
310,7.7,14.4,15.1,9.3,
311,3.6,14.3,15.0,8.8,
312,,14.2,14.8,7.9,
313,2.1,14.1,14.7,7.3,
314,-6.8,13.9,14.5,5.9,
315,-3.5,13.7,14.3,5.0,
316,2.7,13.6,14.2,4.7,
317,3.4,13.5,14.1,4.6,
318,4.8,13.4,14.0,4.6,
319,5.1,13.3,13.9,4.7,
320,3.8,13.2,13.8,4.6,
321,0.4,13.1,13.6,4.2,
322,4.9,13.0,13.5,4.2,
323,0.9,12.9,13.4,3.9,
324,2.8,12.8,13.3,3.8,
325,7.2,12.7,13.2,4.1,
326,-0.3,12.6,13.1,3.7,
327,1.1,12.5,13.0,3.4,
328,5.8,12.4,12.9,3.7,
329,5.5,12.3,12.8,3.9,
330,1.7,12.2,12.7,3.6,
331,1.6,12.1,12.6,3.4,
332,8.9,12.1,12.5,4.0,
333,4.7,12.0,12.5,4.1,
334,1.7,11.9,12.3,3.8,
335,4.7,11.8,12.3,3.9,
336,3,11.8,12.2,3.8,
337,3.2,11.7,12.1,3.8,
338,3.3,11.6,12.0,3.7,
339,5.4,11.5,11.9,3.9,
340,0.5,11.4,11.8,3.5,
